file_name,SSC_Name
CCLOG24MCRIP_PY_D_27490.xlsx,American
CCLOG65MCRIPB_37333.xlsx,American
CCLOG24MCRIPB_D_54327.xlsx,American
CCLOG65MCRIPF_PY_31824.xlsx,American
CCLOG65MCROP_PY_27175.xlsx,American
CCLOG65MCROP_26915.xlsx,American
CCLOG24MCROP_PY_D_31824.xlsx,American
CCLOG65MCRIP_PY_27215.xlsx,American
CCLOG65MCROP_PY_26930.xlsx,American
CCLOG24MCROP_PY_D_27175.xlsx,American
CCLOG65MCRIPB_38329.xlsx,American
CCLOG24MCROP_D_27491.xlsx,American
CCLOG24MCRIPBCAH_PY_D_26935.xlsx,American
CCLOG24MCRIPF_PY_D_31824.xlsx,American
CCLOG65MCRIP_31824.xlsx,American
CCLOG24MCRIPB_PY_D_31810.xlsx,American
CCLOG24MCRIPB_PY_D_26930.xlsx,American
CCLOG24MCRIPB_PY_D_28470.xlsx,American
CCLOG65MCRIPB_54327.xlsx,American
CCLOG24MCRIPB_PY_D_26740.xlsx,American
CCLOG65MCROP_PY_26915.xlsx,American
CCLOG24MCRIP_D_27491.xlsx,American
CCLOG24MCRIPB_D_25121.xlsx,American
CCLOG24MCRIRF_D_27175.xlsx,American
CCLOG65MCROP_54327.xlsx,American
CCLOG65MCRIPB_PY_31824.xlsx,American
CCLOG24MCROP_D_31810.xlsx,American
CCLOG65MCROPCAH_PY_26935.xlsx,American
CCLOG65MCRIP_26915.xlsx,American
CCLOG65MCRIPF_PY_28470.xlsx,American
CCLOG24MCRIPB_D_27175.xlsx,American
CCLOG65MCRIPF_27165.xlsx,American
CCLOG24MCROPCAH_PY_D_26935.xlsx,American
CCLOG65MCRIPB_PY_26930.xlsx,American
CCLOG65MCROP_PY_28470.xlsx,American
CCLOG65MCRIPB_31810.xlsx,American
CCLOG65MCROP_31824.xlsx,American
CCLOG65MCRIP_PY_31810.xlsx,American
CCLOG65MCRIPB_25067.xlsx,American
CCLOG65MCROP_31810.xlsx,American
CCLOG65MCRIPB_PY_27495.xlsx,American
CCLOG65MCRIPSWB_26935.xlsx,American
CCLOG24MCRIP_PY_D_31810.xlsx,American
CCLOG65MCRIPB_27165.xlsx,American
CCLOG65MCRIP_27495.xlsx,American
CCLOG24MCRIPF_D_28470.xlsx,American
CCLOG65MCRIP_07126.xlsx,American
CCLOG65MCRIPBCAH_26935.xlsx,American
CCLOG65MCRIPB_25121.xlsx,American
CCLOG24MCRIPB_PY_D_27175.xlsx,American
CCLOG24MCRIPB_PY_D_27495.xlsx,American
CCLOG65MCRIPB_PY_27175.xlsx,American
CCLOG24MCRIP_PY_D_27175.xlsx,American
CCLOG65MCROP_27175.xlsx,American
CCLOG24MCRIP_D_27215.xlsx,American
CCLOG65MCRIPB_38318.xlsx,American
CCLOG24MCRIP_PY_D_26740.xlsx,American
CCLOG65MCRIPB_26516.xlsx,American
CCLOG65MCRIPB_PY_28470.xlsx,American
CCLOG24MCRIPB_D_27495.xlsx,American
CCLOG65MCRIPB_34318.xlsx,American
CCLOG24MCRIP_PY_D_27495.xlsx,American
CCLOG65MCRIPB_PY_54327.xlsx,American
CCLOG24MCROP_PY_D_54327.xlsx,American
CCLOG65MCRIPB_25960.xlsx,American
CCLOG65MCRIP_54327.xlsx,American
CCLOG24MCRIP_D_07126.xlsx,American
CCLOG24MCRIPB_D_26930.xlsx,American
CCLOG65MCRIP_PY_26740.xlsx,American
CCLOG65MCRIPCAH_PY_26935.xlsx,American
CCLOG65MCRIPB_28470.xlsx,American
CCLOG65MCRIP_PY_34319.xlsx,American
CCLOG24MCRIP_D_28470.xlsx,American
CCLOG24MCRIPF_D_27165.xlsx,American
CCLOG24MCRIPB_D_26915.xlsx,American
CCLOG65MCROP_27490.xlsx,American
CCLOG65MCRIP_26516.xlsx,American
CCLOG65MCRIPSWB_PY_26935.xlsx,American
CCLOG65MCRIP_PY_27175.xlsx,American
CCLOG24MCRIP_D_27495.xlsx,American
CCLOG65MCROP_27491.xlsx,American
CCLOG24MCRIPF_D_31824.xlsx,American
CCLOG65MCRIP_27175.xlsx,American
CCLOG24MCRIRF_PY_D_27175.xlsx,American
CCLOG24MCRIPB_D_28470.xlsx,American
CCLOG24MCRIP_PY_D_54327.xlsx,American
CCLOG65MCRIPB_PY_26740.xlsx,American
CCLOG24MCRIPB_PY_D_54327.xlsx,American
CCLOG24MCROP_PY_D_26915.xlsx,American
CCLOG65MCRIPB_39339.xlsx,American
CCLOG65MCRIPB_06742.xlsx,American
CCLOG24MCRIP_D_27490.xlsx,American
CCLOG65MCRIP_27491.xlsx,American
CCLOG65MCRIP_31810.xlsx,American
CCLOG65MCRIPB_26915.xlsx,American
CCLOG24MCRIRF_D_27165.xlsx,American
CCLOG24MCROP_PY_D_26740.xlsx,American
CCLOG65MCRIP_27215.xlsx,American
CCLOG24MCROPCAH_D_26935.xlsx,American
CCLOG65MCRIP_PY_26915.xlsx,American
CCLOG24MCRIPB_D_31810.xlsx,American
CCLOG24MCRIPSWB_D_26935.xlsx,American
CCLOG65MCRIP_27165.xlsx,American
CCLOG65MCRIPB_PY_31810.xlsx,American
CCLOG65MCRIP_PY_27490.xlsx,American
CCLOG24MCRIP_PY_D_26930.xlsx,American
CCLOG65MCRIPCAH_26935.xlsx,American
CCLOG65MCROP_PY_31810.xlsx,American
CCLOG24MCROP_D_31824.xlsx,American
CCLOG24MCROP_D_26915.xlsx,American
CCLOG24MCROP_D_27175.xlsx,American
CCLOG65MCROP_27165.xlsx,American
CCLOG24MCRIPB_D_34318.xlsx,American
CCLOG24MCRIP_D_54327.xlsx,American
CCLOG24MCROP_PY_D_26930.xlsx,American
CCLOG24MCRIP_PY_D_27215.xlsx,American
CCLOG24MCRIPCAH_PY_D_26935.xlsx,American
CCLOG65MCRIP_26930.xlsx,American
CCLOG65MCROP_PY_31824.xlsx,American
CCLOG65MCROPCAH_26935.xlsx,American
CCLOG65MCRIP_28470.xlsx,American
CCLOG24MCRIP_D_31810.xlsx,American
CCLOG24MCRIP_PY_D_26915.xlsx,American
CCLOG65MCROP_PY_27491.xlsx,American
CCLOG65MCRIPB_27495.xlsx,American
CCLOG24MCRIP_D_26930.xlsx,American
CCLOG65MCRIPB_27175.xlsx,American
CCLOG65MCROP_PY_26740.xlsx,American
CCLOG24MCROP_D_26930.xlsx,American
CCLOG65MCRIPB_31824.xlsx,American
CCLOG65MCRIPF_31824.xlsx,American
CCLOG65MCRIPB_27215.xlsx,American
CCLOG24MCRIPB_D_26516.xlsx,American
CCLOG65MCRIPB_PY_26915.xlsx,American
CCLOG65MCROP_28470.xlsx,American
CCLOG65MCRIPB_26330.xlsx,American
CCLOG24MCROP_D_27490.xlsx,American
CCLOG65MCROP_27215.xlsx,American
CCLOG24MCROP_PY_D_28470.xlsx,American
CCLOG65MCRIP_PY_07126.xlsx,American
CCLOG24MCRIP_PY_D_28470.xlsx,American
CCLOG65MCRIP_27490.xlsx,American
CCLOG24MCROP_D_54327.xlsx,American
CCLOG65MCRIP_PY_54327.xlsx,American
CCLOG65MCROP_PY_54327.xlsx,American
CCLOG24MCRIP_D_31824.xlsx,American
CCLOG24MCRIP_PY_D_27491.xlsx,American
CCLOG65MCRIPB_06676.xlsx,American
CCLOG65MCRIP_PY_26930.xlsx,American
CCLOG65MCROP_25121.xlsx,American
CCLOG65MCRIPB_26930.xlsx,American
CCLOG24MCRIPF_PY_D_28470.xlsx,American
CCLOG24MCRIPB_PY_D_31824.xlsx,American
CCLOG24MCRIPB_PY_D_27491.xlsx,American
CCLOG24MCROP_PY_D_31810.xlsx,American
CCLOG65MCRIPBCAH_PY_26935.xlsx,American
CCLOG65MCRIPB_PY_27491.xlsx,American
CCLOG65MCRIP_PY_31824.xlsx,American
CCLOG24MCRIPB_D_31824.xlsx,American
CCLOG65MCRIP_PY_27495.xlsx,American
CCLOG24MCRIP_D_27175.xlsx,American
CCLOG24MCRIRF_D_26985.xlsx,American
CCLOG24MCRIPSWB_PY_D_26935.xlsx,American
CCLOG24MCRIP_PY_D_31824.xlsx,American
CCLOG24MCROP_D_28470.xlsx,American
CCLOG24MCRIPBCAH_D_26935.xlsx,American
CCLOG24MCRIPCAH_D_26935.xlsx,American
CCLOG24MCROP_PY_D_27491.xlsx,American
CCLOG65MCRIP_PY_28470.xlsx,American
CCLOG24MCRIP_PY_D_07126.xlsx,American
CCLOG65MCRIP_PY_27491.xlsx,American
CCLOG65MCRIPF_28470.xlsx,American
CCLOG24MCRIP_D_26915.xlsx,American
CCLOG24MCRIPB_PY_D_26915.xlsx,American
CCLOG65MCROP_PY_27215.xlsx,American
CCLOG65MCROP_26930.xlsx,American
CCLOG24MCRIRF_PY_D_26985.xlsx,American
CCLOG24MCRIPB_D_26750.xlsx,Atlantic
CCLOG24MCRIP_D_08158.xlsx,Atlantic
CCLOG65MCROP_PY_09721.xlsx,Atlantic
CCLOG65MCRIPB_09728.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_27109.xlsx,Atlantic
CCLOG24MCRIPF_PY_D_30928.xlsx,Atlantic
CCLOG65MCRIPB_30930.xlsx,Atlantic
CCLOG65MCRIPF_34011.xlsx,Atlantic
CCLOG24MCRIP_D_26111.xlsx,Atlantic
CCLOG24MCRIP_PY_D_27995.xlsx,Atlantic
CCLOG65MCRIPF_34001.xlsx,Atlantic
CCLOG24MCROP_D_09721.xlsx,Atlantic
CCLOG65MCRIP_26535.xlsx,Atlantic
CCLOG65MCRIPB_30927.xlsx,Atlantic
CCLOG65MCRIPF_PY_30928.xlsx,Atlantic
CCLOG24MCROP_PY_D_26111.xlsx,Atlantic
CCLOG65MCROP_27109.xlsx,Atlantic
CCLOG65MCRIP_27109.xlsx,Atlantic
CCLOG65MCRIPB_PY_27109.xlsx,Atlantic
CCLOG65MCRIP_37939.xlsx,Atlantic
CCLOG24MCRIPB_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_35952.xlsx,Atlantic
CCLOG65MCRIP_PY_37939.xlsx,Atlantic
CCLOG65MCRIPB_09721.xlsx,Atlantic
CCLOG65MCROP_30927.xlsx,Atlantic
CCLOG65MCRIPB_08158.xlsx,Atlantic
CCLOG65MCRIPB_36957.xlsx,Atlantic
CCLOG24MCRIPB_D_26895.xlsx,Atlantic
CCLOG65MCRIPB_37939.xlsx,Atlantic
CCLOG65MCRIPB_26535.xlsx,Atlantic
CCLOG65MCRIPB_30901.xlsx,Atlantic
CCLOG24MCRIP_PY_D_26111.xlsx,Atlantic
CCLOG65MCROP_09721.xlsx,Atlantic
CCLOG65MCROP_26535.xlsx,Atlantic
CCLOG24MCRIPB_D_26535.xlsx,Atlantic
CCLOG24MCRIP_D_27107.xlsx,Atlantic
CCLOG65MCRIPB_PY_26111.xlsx,Atlantic
CCLOG24MCROP_PY_D_26535.xlsx,Atlantic
CCLOG24MCRIP_PY_D_26535.xlsx,Atlantic
CCLOG65MCRIPF_30902.xlsx,Atlantic
CCLOG24MCRIPB_D_30908.xlsx,Atlantic
CCLOG65MCRIP_26111.xlsx,Atlantic
CCLOG65MCRIPB_PY_08158.xlsx,Atlantic
CCLOG24MCROP_PY_D_27109.xlsx,Atlantic
CCLOG65MCRIPB_26111.xlsx,Atlantic
CCLOG65MCRIPB_26895.xlsx,Atlantic
CCLOG65MCRIPB_30902.xlsx,Atlantic
CCLOG24MCRIP_PY_D_09721.xlsx,Atlantic
CCLOG65MCRIP_PY_08158.xlsx,Atlantic
CCLOG65MCRIPB_30908.xlsx,Atlantic
CCLOG65MCROP_08158.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIP_PY_09721.xlsx,Atlantic
CCLOG65MCRIPB_27107.xlsx,Atlantic
CCLOG24MCRIP_D_26535.xlsx,Atlantic
CCLOG24MCROP_D_08158.xlsx,Atlantic
CCLOG65MCRIP_PY_26535.xlsx,Atlantic
CCLOG65MCRIP_30927.xlsx,Atlantic
CCLOG24MCRIPF_D_34001.xlsx,Atlantic
CCLOG24MCROP_D_26111.xlsx,Atlantic
CCLOG24MCRSNF_D_18045.xlsx,Atlantic
CCLOG65MCROP_37939.xlsx,Atlantic
CCLOG65MCRIPB_26750.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_37939.xlsx,Atlantic
CCLOG24MCROP_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_27109.xlsx,Atlantic
CCLOG24MCRIP_D_27109.xlsx,Atlantic
CCLOG24MCROP_D_26535.xlsx,Atlantic
CCLOG65MCRIP_08158.xlsx,Atlantic
CCLOG65MCRIPF_35941.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_26111.xlsx,Atlantic
CCLOG24MCRIPB_D_30927.xlsx,Atlantic
CCLOG65MCRIPB_PY_27107.xlsx,Atlantic
CCLOG65MCRIP_PY_27107.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_27107.xlsx,Atlantic
CCLOG65MCRIPB_PY_37939.xlsx,Atlantic
CCLOG65MCRIPB_09727.xlsx,Atlantic
CCLOG65MCRIP_PY_26111.xlsx,Atlantic
CCLOG24MCROP_D_30927.xlsx,Atlantic
CCLOG24MCRIP_PY_D_27109.xlsx,Atlantic
CCLOG24MCROP_PY_D_09721.xlsx,Atlantic
CCLOG24MCRIPB_D_37939.xlsx,Atlantic
CCLOG65MCRIP_PY_27109.xlsx,Atlantic
CCLOG24MCRIPB_D_26111.xlsx,Atlantic
CCLOG24MCROP_D_37939.xlsx,Atlantic
CCLOG24MCRIPF_D_35941.xlsx,Atlantic
CCLOG24MCRIP_D_30927.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_26535.xlsx,Atlantic
CCLOG24MCRIPB_D_30930.xlsx,Atlantic
CCLOG24MCRIPB_D_09721.xlsx,Atlantic
CCLOG65MCRIPB_36930.xlsx,Atlantic
CCLOG24MCRIP_PY_D_37939.xlsx,Atlantic
CCLOG65MCRIP_27107.xlsx,Atlantic
CCLOG24MCROP_PY_D_37939.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_09721.xlsx,Atlantic
CCLOG24MCRIP_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_30995.xlsx,Atlantic
CCLOG24MCRIPF_D_30928.xlsx,Atlantic
CCLOG65MCRIPB_37938.xlsx,Atlantic
CCLOG65MCRIP_PY_27995.xlsx,Atlantic
CCLOG65MCRIP_27995.xlsx,Atlantic
