Database,Table,TD_Count,DW_Last_Update_Time
edwra_staging,cclog24mcrip,588299,
edwra_staging,cclog24mcripb,25269,
edwra_staging,cclog24mcripbcah,68,
edwra_staging,cclog24mcripcah,2778,
edwra_staging,cclog24mcripf,9767,
edwra_staging,cclog24mcripswb,326,
edwra_staging,cclog24mcrirf_d,32729,
edwra_staging,cclog24mcrop,2700073,
edwra_staging,cclog24mcropcah,59334,
edwra_staging,cclog24mcrsnf,111,
edwra_staging,cclog24mcrltch,147,
edwra_staging,cclog65mcrip,38194,
edwra_staging,cclog65mcripb,11217,
edwra_staging,cclog65mcripbcah,34,
edwra_staging,cclog65mcripcah,290,
edwra_staging,cclog65mcripf,1182,
edwra_staging,cclog65mcripswb,102,
edwra_staging,cclog65mcrirf,31272,
edwra_staging,cclog65mcrop,144636,
edwra_staging,cclog65mcropcah,15893,
edwra_staging,cclog65mcrsnf,28,
edwra_staging,cclog65mcrltch,84,